Friends;Add time;Find time;Merge time;Remove time
152000;146.443;167.6552;879.9041;79.8856
153000;86.3492;181.6661;850.9008;96.7665
154000;137.1721;152.993;835.6023;111.4224
155000;81.9541;145.5017;856.9918;87.4542
156000;151.0241;160.3065;885.8647;108.9738
157000;103.0904;153.6596;853.366;88.507
158000;159.7313;149.5052;848.3695;106.8578
159000;95.5391;161.0692;873.459;87.2724
160000;156.2931;155.172;848.0874;84.926
161000;95.3196;110.6601;891.4025;85.7392
162000;138.9125;132.2763;808.9438;101.301
163000;122.4707;116.6005;829.1133;101.7513
164000;137.2375;160.5983;906.0402;95.2363
165000;94.5287;152.9476;833.0239;85.9937
166000;148.3495;147.4317;843.4922;80.1458
167000;145.6344;144.2518;841.8982;97.6982
168000;80.2813;109.2967;660.0543;73.1663
169000;179.8688;146.7605;821.3277;89.8318
170000;84.7357;113.3973;646.9512;71.8758
171000;204.8696;146.5658;834.744;81.1403
172000;170.6947;141.2512;840.953;85.5977
173000;66.0203;106.5249;646.7482;69.2363
174000;181.8821;115.6433;882.6976;93.3892
175000;133.5714;206.3144;888.3332;96.1121
176000;84.3105;180.6909;843.6079;86.4713
177000;149.6258;153.2663;873.9709;81.3297
178000;154.107;138.2283;822.2012;95.7825
179000;83.2642;106.3303;662.2206;70.4961
180000;168.0245;129.8407;738.9299;73.0554
181000;172.8036;151.6828;819.1777;90.2113
182000;136.8245;191.1734;926.5852;95.8101
183000;89.2907;174.0587;841.5716;86.1781
184000;140.9719;128.3556;892.3784;81.4823
185000;130.0365;137.5507;809.3955;94.6241
186000;101.6893;107.444;652.7506;72.862
187000;184.1907;159.8757;839.194;91.515
188000;84.4591;108.4284;651.9395;70.4088
189000;194.4953;116.5237;775.0431;83.952
190000;97.5932;109.294;781.0078;99.4263
191000;76.3034;112.5033;660.7856;70.2938
192000;146.5644;174.1643;863.5818;90.338
193000;105.7175;109.5754;678.6457;74.367
194000;165.6472;149.0276;834.4233;82.1215
195000;115.3836;160.0928;840.1043;100.9796
196000;92.1724;187.2639;878.7068;118.453
197000;157.8712;200.7007;1037.6183;123.6921
198000;155.2593;179.2624;927.3527;97.4879
199000;140.0784;191.949;936.9525;125.854
200000;143.742;155.6868;981.2608;115.2311
201000;152.4615;151.0823;999.4699;106.1558
202000;141.2677;153.8943;934.4938;88.9223
203000;149.4856;168.4536;906.9004;96.9634
204000;92.1035;142.5903;722.1008;78.0531
205000;179.529;124.8429;858.0088;92.3735
206000;89.4228;119.5271;709.1052;160.5138
207000;129.2358;130.5459;727.5016;77.5464
208000;66.087;117.385;712.8578;218.3726
209000;150.2603;176.6627;928.4707;85.209
210000;112.8818;174.5867;827.9234;102.258
211000;144.2631;135.8733;911.8613;99.8713
212000;96.2548;164.0313;848.0152;87.6013
213000;167.5905;148.9368;837.7197;108.836
214000;101.2286;124.6766;905.4759;92.4777
215000;149.8139;164.3794;914.8383;120.229
216000;136.0511;215.0503;1023.7147;105.4619
217000;191.4919;177.6128;919.5931;106.0817
218000;90.0455;115.6322;997.1364;101.5798
219000;126.2228;152.1284;915.361;98.5193
220000;184.461;144.793;808.5532;102.4101
221000;100.6744;153.8722;820.7372;84.8033
222000;157.6685;135.821;844.8765;93.3067
223000;110.1438;207.7938;983.5607;90.9841
224000;158.2799;195.9374;1164.5104;117.1036
225000;95.6712;217.0015;1019.7209;114.4005
226000;153.4355;201.2813;1066.7033;104.7164
227000;174.403;172.9627;998.5947;115.8496
